,codigo,nombre,zona,media_miles
199,1057,Marqués de la Valdavia,B1,138.91
200,1058,Manuel de Falla,B1,85.14
201,1059,Baunatal,B1,73.92
202,1060,Reyes Católicos,B1,86.04
203,1061,Hospital Infanta Sofía,B1,113.4
204,1102,Abrantes,A,75.38
205,1103,Pan Bendito,A,50.58
206,1104,San Francisco,A,94.21
207,1105,Carabanchel Alto,A,99.14
208,1106,La Peseta,A,82.8
209,1107,La Fortuna,B1,65.45
210,1202,Parque de Lisboa,B1,119.87
211,1203,Alcorcón Central,B1,209.74
212,1204,Parque Oeste,B1,108.42
213,1205,Universidad Rey Juan Carlos,B2,134.85
214,1206,Móstoles Central,B2,211.1
215,1207,Pradillo,B2,174.89
216,1208,Hospital de Móstoles,B2,140.24
217,1209,Manuela Malasaña,B2,100.81
218,1210,Loranca,B2,142.92
219,1212,Hospital de Fuenlabrada,B2,117.76
220,1213,Parque Europa,B2,101.26
221,1214,Fuenlabrada Central,B2,215.34
222,1215,Parque de los Estados,B2,134.25
223,1217,Arroyo Culebro,B1,34.36
224,1218,Conservatorio,B1,67.05
225,1219,Alonso de Mendoza,B1,102.66
226,1220,Getafe Central,B1,313.15
227,1221,Juan de la Cierva,B1,206.92
228,1222,El Casar,B1,170.69
229,1223,Los Espartales,B1,63.35
230,1224,El Bercial,B1,75.21
231,1225,El Carrascal,B1,174.62
232,1226,Julián Besteiro,B1,142.31
233,1227,Casa del Reloj,B1,139.05
234,1228,Hospital Severo Ochoa,B1,90.5
235,1229,Leganés Central,B1,211.47
236,1230,San Nicasio,B1,127.69
