,codigo,nombre,CP,poblacion,direccion,zona,correspondencias,latitud,longitud,media_miles,ranking
39,605,PLAZA ELIPTICA,28025,Madrid,Plaza de Fernández Ladreda N2 ,A,6. 11,40.38460006,-3.71837056,670.04,10
40,806,AEROPUERTO T1-T2-T3,28042,Madrid,Avda de la Hispanidad NSN ,A,8,40.46864424,-3.56953826,214.01,94
41,411,AVENIDA DE AMERICA,28002,Madrid,Avda de América N9A,A,4. 6. 7. 9,40.43803258,-3.67663956,1012.03,6
42,202,MANUEL BECERRA,28028,Madrid,Plaza de Manuel Becerra N1 ,A,2. 6,40.42790417,-3.6692582,330.63,42
43,106,CUATRO CAMINOS,28020,Madrid,Gta de Cuatro Caminos N2 ,A,1. 2. 6,40.44697395,-3.70397477,590.56,16
44,1016,COLONIA JARDIN,28024,Madrid,Calle de Arenas de San Pedro N2 ,A,10,40.39697543,-3.77461626,504.52,21
45,421,HORTALEZA,28033,Madrid,Calle del Capitán Cortés BLQ4 ,A,4,40.47537172,-3.65257261,120.23,175
46,105,ALVARADO,28020,Madrid,Calle de Bravo Murillo N138 ,A,1,40.45033198,-3.70331421,185.87,115
47,308,PLAZA DE ESPAÑA,28008,Madrid,Plaza de España N1 ,A,2. 3. 10,40.42341603,-3.71119704,831.35,7
48,309,VENTURA RODRIGUEZ,28008,Madrid,Calle de la Princesa N22 ,A,3,40.42708737,-3.7134131,126.5,170
49,1053,LAS TABLAS,28050,Madrid,Calle de Palas de Rey N30 ,A,10,40.50833012,-3.66944258,141.06,153
50,1051,TRES OLIVOS,28034,Madrid,Acces   M-607 SNSN ,A,10,40.50120463,-3.69520245,82.64,219
51,1057,MARQUES DE LA VALDAVIA,28100,Alcobendas,Calle del Marqués de la Valdavia BLQ21 ,B1,10,40.54102356,-3.63738494,138.91,156
52,1059,BAUNATAL,28701,San Sebastián de los Reyes,Avda de las Lomas del Rey N2 ,B1,10,40.55442304,-3.6351257,73.92,226
53,122,BUENOS AIRES,28038,Madrid,Avda de la Albufera N179 ,A,1,40.39156288,-3.65390612,161.73,139
54,119,PUENTE DE VALLECAS,28053,Madrid,Avda de la Albufera N1 ,A,1,40.39819215,-3.669059,349.28,34
55,918,PAVONES,28030,Madrid,Calle de la Hacienda de Pavones N342 ,A,9,40.40051155,-3.63512256,190.42,109
56,357,VILLAVERDE ALTO,28021,Madrid,Calle del Valle de Tobalina N56 ,A,3,40.34122866,-3.71199027,309.69,48
57,115,ESTACION DEL ARTE,28012,Madrid,Plaza del Emperador Carlos V N11 ,A,1,40.4088516,-3.69248727,234.59,79
58,116,ATOCHA,28007,Madrid,Avda de la Ciudad de Barcelona N2B,A,1,40.40658682,-3.68937811,685.56,8
59,404,ALONSO MARTINEZ,28004,Madrid,Plaza de Alonso Martínez N4 ,A,4. 5. 10,40.42772011,-3.6959387,449.21,27
60,103,TETUAN,28020,Madrid,Calle de Bravo Murillo N264 ,A,1,40.46055188,-3.69824989,308.42,49
61,128,LA GAVIA,28031,Madrid,Avda del Ensanche de Vallecas N16 ,A,1,40.37019166,-3.61346348,112.89,185
62,405,COLON,28046,Madrid,Plaza de Colón N2 ,A,4,40.42541918,-3.69100739,98.62,205
63,207,SEVILLA,28014,Madrid,Calle de Alcalá N23 ,A,2,40.41805075,-3.69925114,133.67,164
64,203,GOYA,28009,Madrid,Calle de Alcalá N96 ,A,2. 4,40.42454839,-3.67591018,581.19,17
65,204,PRINCIPE DE VERGARA,28009,Madrid,Calle de Alcalá N123 ,A,2. 9,40.42294486,-3.68012268,210.6,100
66,205,RETIRO,28009,Madrid,Calle de Alcalá N81 ,A,2,40.42030672,-3.68624472,249.96,72
67,206,BANCO DE ESPAÑA,28014,Madrid,Calle de Alcalá N49 ,A,2,40.41921979,-3.69496511,273.48,58
68,210,SANTO DOMINGO,28013,Madrid,Calle de San Bernardo N11 ,A,2,40.42131541,-3.70795528,154.16,143
69,702,SAN BLAS,28037,Madrid,Calle de Pobladura del Valle N27 ,A,7,40.42799191,-3.61546908,121.94,173
70,703,SIMANCAS,28037,Madrid,Calle del Castillo de Madrigal de las Altas Torres N15 ,A,7,40.42799237,-3.62572167,182.3,121
71,153,PINAR DE CHAMARTIN,28033,Madrid,Calle de Arturo Soria N330 ,A,1. 4,40.48013998,-3.66680448,332.17,40
72,751,ESTADIO METROPOLITANO,28022,Madrid,Avda de Arcentales N28 ,A,7,40.43339349,-3.60015365,91.51,209
73,808,AEROPUERTO T-4,28042,Madrid,Ctra de Alcobendas a Barajas SNSN ,A,8,40.49176677,-3.5932456,195.06,107
74,552,ALAMEDA DE OSUNA,28042,Madrid,Calle de la Corbeta N14 ,A,5,40.45778863,-3.58752093,115.23,181
75,352,HOSPITAL 12 DE OCTUBRE,28041,Madrid,Avda de Córdoba N49 ,A,3,40.37503136,-3.69585469,181.92,122
76,351,ALMENDRALES,28026,Madrid,Avda de Córdoba N21 ,A,3,40.38409353,-3.6978814,231.35,81
77,621,VICENTE ALEIXANDRE,28040,Madrid,Avda de Gregorio del Amo N4 ,A,6,40.4464364,-3.71942671,126.02,171
78,626,PUERTA DEL ANGEL,28011,Madrid,Paseo de Extremadura N26 ,A,6,40.4138989,-3.72724045,263.76,62
79,627,ALTO DE EXTREMADURA,28011,Madrid,Paseo de Extremadura N154 ,A,6,40.40992602,-3.73893618,202.04,105
80,113,TIRSO DE MOLINA,28012,Madrid,Plaza de Tirso de Molina N7 ,A,1,40.4123481,-3.70465527,331.19,41
81,305,LAVAPIES,28012,Madrid,Plaza de Lavapiés N7 ,A,3,40.40851094,-3.70090412,334.23,39
82,1220,GETAFE CENTRAL,28904,Getafe,Calle   Ferrocarril N2 ,B1,12,40.30992791,-3.73402503,313.15,47
83,107,RIOS ROSAS,28003,Madrid,Calle de Ríos Rosas N22 ,A,1,40.44197536,-3.70132848,188.05,112
84,110,TRIBUNAL,28004,Madrid,Calle de Fuencarral N81 ,A,1. 10,40.4261854,-3.70109985,450.84,26
85,529,CAMPAMENTO,28024,Madrid,Avda del Padre Piquer N7 ,A,5,40.39480776,-3.76812814,177.0,124
86,602,CARPETANA,28025,Madrid,Calle   Vía Carpetana N141 ,A,6,40.3927019,-3.74099368,326.0,43
87,604,OPAÑEL,28019,Madrid,Calle del Valle de Oro N50A,A,6,40.38690441,-3.72313362,222.74,89
88,606,USERA,28026,Madrid,Calle de Amparo Usera N44 ,A,6,40.38709669,-3.70689564,457.77,25
89,611,CONDE DE CASAL,28007,Madrid,Plaza del Conde de Casal N3 ,A,6,40.40696795,-3.67040807,419.87,29
90,613,O'DONNELL,28028,Madrid,Calle del Doctor Esquerdo N47 ,A,6,40.42288843,-3.66859515,290.66,53
91,807,BARAJAS,28042,Madrid,Cmno   Viejo de Hortaleza N10 ,A,8,40.47577416,-3.58252791,178.83,123
92,118,PACIFICO,28007,Madrid,Calle de Andalucía N2 ,A,1. 6,40.40207174,-3.67385604,467.35,24
93,1224,EL BERCIAL,28905,Getafe,Avda   Comandante José Manuel Ripollés N4 ,B1,12,40.32907237,-3.72963318,75.21,225
94,1228,HOSPITAL SEVERO OCHOA,28914,Leganés,Avda   Orellana N3 ,B1,12,40.32177027,-3.76797305,90.5,210
95,406,SERRANO,28001,Madrid,Calle de Goya N19 ,A,4,40.42543216,-3.68663044,210.8,99
96,407,VELAZQUEZ,28001,Madrid,Calle de Núñez de Balboa N33 ,A,4,40.42503255,-3.68291815,173.41,129
97,410,DIEGO DE LEON,28028,Madrid,Calle de Diego de León N69 ,A,4. 5. 6,40.43467947,-3.67495273,478.83,23
98,1052,MONTECARMELO,28049,Madrid,Avda de Monasterio de Silos N63A,A,10,40.50525216,-3.6957507,83.96,217
99,412,PROSPERIDAD,28002,Madrid,Plaza de la Prosperidad N4 ,A,4,40.44418898,-3.6748189,176.25,125
100,413,ALFONSO XIII,28002,Madrid,Calle de López de Hoyos N190 ,A,4,40.44824839,-3.66790615,218.31,90
101,414,AVENIDA DE LA PAZ,28043,Madrid,Avda de Ramón y Cajal N107 ,A,4,40.45354264,-3.661182,88.53,212
102,415,ARTURO SORIA,28043,Madrid,Calle de Arturo Soria N172 ,A,4,40.45583249,-3.65618122,163.35,138
103,416,ESPERANZA,28043,Madrid,Calle de Andorra N51 ,A,4,40.4594473,-3.64581718,129.69,166
104,417,CANILLAS,28043,Madrid,Avda de Machupichu N64 ,A,4,40.46381054,-3.63559546,192.36,108
105,419,SAN LORENZO,28033,Madrid,Avda de la Barranquilla N9 ,A,4,40.47447074,-3.63957728,127.28,168
106,420,PARQUE DE SANTA MARIA,28033,Madrid,Calle de Santa Virgilia N1 ,A,4,40.47711429,-3.645242,105.41,197
107,501,CANILLEJAS,28022,Madrid,Calle de Alcalá N631 ,A,5,40.44942085,-3.60816032,226.75,86
108,502,TORRE ARIAS,28027,Madrid,Calle de Alcalá N557 ,A,5,40.4437433,-3.61699471,146.99,146
109,503,SUANZES,28037,Madrid,Calle de Alcalá N527 ,A,5,40.44085124,-3.62683974,185.09,117
110,504,CIUDAD LINEAL,28027,Madrid,Calle de Arturo Soria N2 ,A,5,40.43804841,-3.63815759,272.62,60
111,506,QUINTANA,28027,Madrid,Calle de la Virgen del Sagrario N2 ,A,5,40.43358494,-3.64736224,229.22,84
112,507,EL CARMEN,28027,Madrid,Calle de Raquel Méller N2 ,A,5,40.43189329,-3.65757255,282.43,56
113,510,NUÑEZ DE BALBOA,28006,Madrid,Calle de Juan Bravo N20 ,A,5. 9,40.43278061,-3.68257991,300.87,50
114,511,RUBEN DARIO,28010,Madrid,Paseo de Eduardo Dato N33 ,A,5,40.43315794,-3.6895416,169.17,131
115,109,BILBAO,28004,Madrid,Calle de Sagasta N2 ,A,1. 4,40.42905603,-3.70218207,361.08,32
116,517,LA LATINA,28005,Madrid,Calle de San Millán N5 ,A,5,40.41128033,-3.70816087,289.49,54
117,521,MARQUES DE VADILLO,28019,Madrid,Gta del Marqués de Vadillo N4 ,A,5,40.39735629,-3.71596008,313.68,46
118,522,URGEL,28019,Madrid,Calle del Camino Viejo de Leganés N1 ,A,5,40.39335177,-3.72360482,268.53,61
119,524,VISTA ALEGRE,28025,Madrid,Calle de la Oca N74 ,A,5,40.38884703,-3.73982455,235.28,78
120,525,CARABANCHEL,28047,Madrid,Gta del Ejército N1 ,A,5,40.38782702,-3.74487052,217.24,91
121,952,PACO DE LUCIA,28034,Madrid,Calle de Monasterio de Las Huelgas N5 ,A,9,40.49970799,-3.70912735,87.03,213
122,505,PUEBLO NUEVO,28027,Madrid,Calle de Alcalá N372 ,A,5. 7,40.43565852,-3.64282294,349.4,33
123,622,CIUDAD UNIVERSITARIA,28040,Madrid,Avda   Complutense N1 ,A,6,40.44356468,-3.72678481,347.21,35
124,620,GUZMAN EL BUENO,28003,Madrid,Calle de Guzmán el Bueno N118 ,A,6. 7,40.44636608,-3.71229404,252.28,68
125,916,VINATEROS,28030,Madrid,Calle del Camino de los Vinateros N70 ,A,9,40.41023993,-3.65273421,164.86,136
126,917,ARTILLEROS,28030,Madrid,Calle del Camino de los Vinateros N210 ,A,9,40.40522383,-3.64181234,196.43,106
127,120,NUEVA NUMANCIA,28053,Madrid,Avda de la Albufera N70 ,A,1,40.39553816,-3.6641417,385.95,31
128,921,SAN CIPRIANO,28032,Madrid,Calle de San Cipriano N68 ,A,9,40.40381176,-3.60239405,76.62,223
129,518,PUERTA DE TOLEDO,28005,Madrid,Gta de Puerta de Toledo N1 ,A,5,40.40703576,-3.71104645,160.14,141
130,608,ARGANZUELA-PLANETARIO,28045,Madrid,Calle del Bronce N1A,A,6,40.39310271,-3.68864035,116.15,180
131,1105,CARABANCHEL ALTO,28054,Madrid,Avda de Carabanchel Alto N40 ,A,11,40.37200242,-3.75190634,99.14,204
132,709,CARTAGENA,28002,Madrid,Avda de América N35 ,A,7,40.4393375,-3.6721516,118.89,177
133,708,PARQUE DE LAS AVENIDAS,28028,Madrid,Avda de Bruselas N56 ,A,7,40.4394476,-3.66297058,108.82,189
134,513,CHUECA,28004,Madrid,Plaza de Chueca N7 ,A,5,40.42293318,-3.69761659,166.7,134
135,714,ISLAS FILIPINAS,28003,Madrid,Calle de Cea Bermúdez N54 ,A,7,40.43906821,-3.71372864,316.08,45
136,909,CRUZ DEL RAYO,28002,Madrid,Calle del Príncipe de Vergara N138 ,A,9,40.44426588,-3.67821411,96.7,207
137,117,MENENDEZ PELAYO,28007,Madrid,Avda de la Ciudad de Barcelona N23 ,A,1,40.40445052,-3.68097942,167.1,133
138,913,IBIZA,28009,Madrid,Calle de Ibiza N1 ,A,9,40.41839121,-3.67857511,143.08,149
139,705,ASCAO,28017,Madrid,Calle de Ascao N29 ,A,7,40.43020553,-3.64105571,189.15,111
140,111,GRAN VIA,28013,Madrid,Calle   Gran Vía N23 ,A,1. 5,40.41998662,-3.70180393,654.56,11
141,756,LA RAMBLA,28823,Coslada,Calle   Honduras N2 ,B1,7,40.42514349,-3.54792383,160.18,140
142,754,BARRIO DEL PUERTO,28821,Coslada,Avda de España N8 ,B1,7,40.42249687,-3.56918847,88.7,211
143,757,SAN FERNANDO,28830,San Fernando de Henares,Calle de Gonzalo de Córdoba N24 ,B1,7,40.42441225,-3.53541452,164.95,135
144,758,JARAMA,28830,San Fernando de Henares,Plaza   Guernica N1 ,B1,7,40.42295481,-3.52549376,246.43,73
145,759,HENARES,28830,San Fernando de Henares,Avda de Algorta N12 ,B1,7,40.41776949,-3.52717835,246.43,74
146,129,LAS SUERTES,28031,Madrid,Calle de Cañada del Santísimo N45 ,A,1,40.36322803,-3.59953269,183.77,120
147,130,VALDECARROS,28031,Madrid,Avda del Ensanche de Vallecas N120A,A,1,40.36006813,-3.59316035,102.06,201
148,108,IGLESIA,28010,Madrid,Gta del Pintor Sorolla N2 ,A,1,40.43492348,-3.69897999,272.8,59
149,125,SIERRA DE GUADALUPE,28031,Madrid,Avda de la Democracia N1 ,A,1,40.38216425,-3.62471747,251.21,70
150,152,BAMBU,28036,Madrid,Calle del Bambú N14 ,A,1,40.47681536,-3.67636744,86.77,214
151,214,CANAL,28003,Madrid,Calle de Cea Bermúdez N1 ,A,2. 7,40.43870251,-3.70488899,234.22,80
152,1054,RONDA DE LA COMUNICACION,28050,Madrid,Ronda de la Comunicación N22 ,A,10,40.51553465,-3.6627651,37.01,235
153,304,EMBAJADORES,28012,Madrid,Gta de Embajadores N10 ,A,3. 5,40.40512727,-3.7026805,540.89,19
154,311,MONCLOA,28008,Madrid,Paseo de Moret N1 ,A,3. 6,40.43496631,-3.71945001,1732.67,1
155,527,ALUCHE,28047,Madrid,Calle de Valmojado N293 ,A,5,40.38562862,-3.76080381,505.03,20
156,519,ACACIAS,28005,Madrid,Paseo de las Acacias N20 ,A,3. 5,40.40387164,-3.70664109,103.41,199
157,301,LEGAZPI,28045,Madrid,Plaza de Legazpi N2B,A,3. 6,40.39115776,-3.69505137,648.35,12
158,625,PRINCIPE PIO,28008,Madrid,Paseo de la Florida N2 ,A,6. 10. R,40.42106885,-3.72032356,1319.88,3
159,1001,FUENCARRAL,28034,Madrid,Calle de la Fuente Chica N21 ,A,10,40.49508516,-3.69283123,136.98,158
160,1005,CUZCO,28046,Madrid,Paseo de la Castellana N162 ,A,10,40.45842142,-3.68985075,282.01,57
161,1006,SANTIAGO BERNABEU,28046,Madrid,Paseo de la Castellana N97 ,A,10,40.45158918,-3.69037935,335.79,38
162,102,VALDEACEDERAS,28020,Madrid,Calle de Bravo Murillo N332 ,A,1,40.46442418,-3.69506204,237.58,77
163,1020,JOAQUIN VILUMBRALES,28925,Alcorcón,Avda de la Libertad N13 ,B1,10,40.3498481,-3.80720128,146.55,147
164,1102,ABRANTES,28025,Madrid,Avda de Abrantes N77 ,A,11,40.38083362,-3.72790025,75.38,224
165,1103,PAN BENDITO,28025,Madrid,Avda de Abrantes N289 ,A,11,40.37586864,-3.73416886,50.58,233
166,121,PORTAZGO,28018,Madrid,Avda de la Albufera N131 ,A,1,40.39266056,-3.65867771,225.38,88
167,1202,PARQUE LISBOA,28924,Alcorcón,Calle de Porto Lagos N7 ,B1,12,40.34968728,-3.82119573,119.87,176
168,1204,PARQUE OESTE,28922,Alcorcón,Calle de Estambul N5 ,B1,12,40.34589438,-3.84933862,108.42,191
169,1205,UNIVERSIDAD REY JUAN CARLOS,28933,Móstoles,Calle   Tulipán N2 ,B2,12,40.33512298,-3.87217961,134.85,161
170,1207,PRADILLO,28931,Móstoles,Calle de Agustina de Aragón N23 ,B2,12,40.32167697,-3.8648894,174.89,126
171,601,LAGUNA,28047,Madrid,Calle de Cuart de Poblet N1 ,A,6,40.39922963,-3.74428872,211.79,96
172,1208,HOSPITAL DE MOSTOLES,28934,Móstoles,Calle del Río Sella N10 ,B2,12,40.31652428,-3.87471248,140.24,154
173,1218,CONSERVATORIO,28905,Getafe,Avda de las Arcas del Agua N5 ,B1,12,40.29324385,-3.74576104,67.05,227
174,1210,LORANCA,28942,Fuenlabrada,Calle de la Alegría N4 ,B2,12,40.29681266,-3.83768346,142.92,150
175,1212,HOSPITAL DE FUENLABRADA,28942,Fuenlabrada,Cmno del Molino N3 ,B2,12,40.28575549,-3.81641681,117.76,178
176,1213,PARQUE EUROPA,28943,Fuenlabrada,Calle de Francia N34 ,B2,12,40.2851757,-3.80632299,101.26,202
177,254,AVENIDA DE GUADALAJARA,28032,Madrid,Avda de Guadalajara N110 ,A,2,40.42239358,-3.61206461,112.29,186
178,255,LAS ROSAS,28022,Madrid,Paseo de Ginebra N35 ,A,2,40.42374843,-3.6033056,107.69,192
179,609,MENDEZ ALVARO,28045,Madrid,Calle del Ombu N16 ,A,6,40.3953756,-3.67814151,644.53,13
180,523,OPORTO,28019,Madrid,Gta del Valle de Oro N13 ,A,5. 6,40.38846476,-3.73132331,640.42,14
181,303,PALOS DE LA FRONTERA,28045,Madrid,Calle de Palos de la Frontera N33 ,A,3,40.40307228,-3.69423268,226.03,87
182,213,QUEVEDO,28015,Madrid,Gta de Quevedo N1 ,A,2,40.43321732,-3.70433286,230.22,82
183,1215,PARQUE DE LOS ESTADOS,28945,Fuenlabrada,Calle de Venezuela N2 ,B2,12,40.2868358,-3.78697404,134.25,162
184,1217,ARROYO CULEBRO,28905,Getafe,Paseo de Juan José Rosón N1 ,B1,12,40.28874177,-3.75682336,34.36,236
185,1219,ALONSO DE MENDOZA,28904,Getafe,Calle del Greco N6 ,B1,12,40.30081396,-3.73663697,102.66,200
186,1221,JUAN DE LA CIERVA,28903,Getafe,Avda de España N20 ,B1,12,40.31180237,-3.72224012,206.92,103
187,1223,LOS ESPARTALES,28903,Getafe,Avda   Rigoberta Menchú N3 ,B1,12,40.32422702,-3.71819786,63.35,230
188,123,ALTO DEL ARENAL,28038,Madrid,Calle de Santillana del Mar N21 ,A,1,40.38977101,-3.64521655,189.32,110
189,1225,EL CARRASCAL,28916,Leganés,Avda   Rey Juan Carlos I N85 ,B1,12,40.33663824,-3.74018488,174.62,127
190,1226,JULIAN BESTEIRO,28915,Leganés,Avda   Rey Juan Carlos I N23A,B1,12,40.33474911,-3.75265895,142.31,151
191,302,DELICIAS,28045,Madrid,Paseo de las Delicias N60 ,A,3,40.39990478,-3.69419962,299.31,52
192,1227,CASA DEL RELOJ,28914,Leganés,Avda   Gibraltar N11 ,B1,12,40.32660272,-3.75942499,139.05,155
193,1230,SAN NICASIO,28918,Leganés,Avda   Mar Mediterráneo SNSN ,B1,12,40.33616315,-3.77587363,127.69,167
194,124,MIGUEL HERNANDEZ,28038,Madrid,Calle de León Felipe N4A,A,1,40.38731575,-3.6395099,207.95,102
195,551,EL CAPRICHO,28042,Madrid,Calle de Pinos de Osuna N15 ,A,5,40.45346833,-3.59401166,60.56,231
196,1104,SAN FRANCISCO,28054,Madrid,Avda de los Poblados N102 ,A,11,40.37359884,-3.73910293,94.21,208
197,1018,AVIACION ESPAÑOLA,28024,Madrid,Paseo de Extremadura N463 ,A,10,40.38363944,-3.78392295,138.16,157
198,803,PINAR DEL REY,28043,Madrid,Avda de la Gran Vía de Hortaleza N47 ,A,8,40.46800136,-3.64866836,134.07,163
199,126,VILLA DE VALLECAS,28031,Madrid,Paseo de Federico García Lorca N2 ,A,1,40.37959861,-3.62129648,184.78,118
200,251,LA ELIPA,28017,Madrid,Avda del Marqués de Corbera N58 ,A,2,40.42661724,-3.65051891,252.33,67
201,1106,LA PESETA,28054,Madrid,Calle de Salvador Allende N3 ,A,11,40.36422401,-3.75690271,82.8,218
202,628,LUCERO,28011,Madrid,Calle de las Higueras N47 ,A,6,40.40509965,-3.74533696,299.8,51
203,919,VALDEBERNARDO,28032,Madrid,Bulv de Indalecio Prieto N26 ,A,9,40.40004713,-3.62155916,154.79,142
204,721,LACOMA,28035,Madrid,Calle de Riscos de Polanco N3 ,A,7,40.48501503,-3.72304554,81.25,220
205,720,AVENIDA DE LA ILUSTRACION,28035,Madrid,Calle de las Islas Cíes N23 ,A,7,40.48010261,-3.71839825,105.51,196
206,717,VALDEZARZA,28039,Madrid,Calle de San Restituto N70 ,A,7,40.46482353,-3.71597213,105.97,195
207,802,COLOMBIA,28016,Madrid,Calle del Príncipe de Vergara N269 ,A,8. 9,40.45748975,-3.67693906,342.95,36
208,701,LAS MUSAS,28022,Madrid,Avda de Niza N61 ,A,7,40.43298813,-3.60787951,98.21,206
209,1060,REYES CATOLICOS,28701,San Sebastián de los Reyes,Avda de la Plaza de Toros N7 ,B1,10,40.55037483,-3.62339941,86.04,215
210,1058,MANUEL DE FALLA,28100,Alcobendas,Calle   Manuel de Falla N59 ,B1,10,40.55047998,-3.64687945,85.14,216
211,1056,LA MORALEJA,28109,Alcobendas,Avda de la Ermita N5 ,B1,10,40.53195565,-3.63555952,105.35,198
212,1055,LA GRANJA,28108,Alcobendas,Calle de Sepúlveda N1 ,B1,10,40.52759962,-3.65859209,66.64,228
213,1061,HOSPITAL INFANTA SOFIA,28702,San Sebastián de los Reyes,Paseo   Europa N11 ,B1,10,40.55976945,-3.61145473,113.4,184
214,617,REPUBLICA ARGENTINA,28002,Madrid,Calle de Joaquín Costa N24 ,A,6,40.44379457,-3.68406187,108.75,190
215,201,VENTAS,28028,Madrid,Calle de Alcalá N204 ,A,2. 5,40.4308848,-3.66360584,252.03,69
216,101,PLAZA DE CASTILLA,28046,Madrid,Paseo de la Castellana N189 ,A,1. 9. 10,40.46689604,-3.68916959,1273.37,5
217,355,VILLAVERDE BAJO CRUCE,28021,Madrid,Avda de Andalucía N38 ,A,3,40.35089476,-3.69264894,399.66,30
218,922,PUERTA DE ARGANDA,28032,Madrid,Calle de San Cipriano N85 ,A,9,40.40131578,-3.5959753,249.96,71
219,151,CHAMARTIN,28036,Madrid,Calle de Agustín de Foxá N40 ,A,1. 10,40.47210313,-3.68259088,577.95,18
